"row_id","triplet_id","variant_type","scam_type","language","script","surface_format","message_text","text_en_gloss","genuine_anchor_id","pattern_id","source_type","source_url","source_date","pressure_tactic","ask","red_flags","mentioned_institutions","contains_link","link_pattern","validation_status"
"CYB-PILOT-011","TRIP-UPI-HIN-001","scam","upi_collect_request","Hinglish","Latin","app_notification","Rs.125 refund ke liye UPI collect approve karo. Debit reversal process complete hoga. Req from MAHABANK-REFUND.","Scam UPI request tells user to approve collect request to receive a refund or debit reversal while hiding the PIN/outflow mechanism.","ANC-SMS-001","PAT-UPI-007","hand_built","https://www.hdfcbank.com/personal/resources/learning-centre/vigil-aunty/essential-practices-for-safe-upi-transactions","2026-04-28","refund_lure","approve_collect_request","refund_lure|hidden_upi_pin_risk|unknown_collect_request|bank_impersonation","Bank of Maharashtra|MAHABANK|UPI","false","none","corrected_after_review"
"CYB-PILOT-012","TRIP-UPI-HIN-001","help_seeking","upi_collect_request","Hinglish","Latin","help_message","Bhai UPI app me MAHABANK-REFUND se collect req aaya, bol raha Rs.125 reversal ke liye PIN dalu. Receive money me PIN lagta kya?","An anxious Hinglish message asks whether receiving a refund through UPI should require entering PIN.","ANC-SMS-001","PAT-UPI-007","hand_built","https://www.hdfcbank.com/personal/resources/learning-centre/vigil-aunty/essential-practices-for-safe-upi-transactions","2026-04-28","refund_lure","ask_trusted_contact","anxious|unknown_collect_request|asks_about_upi_pin","Bank of Maharashtra|MAHABANK|UPI","false","none","needs_human_review"
"CYB-SCALE-013","TRIP-SCALE-DA-EN-001","genuine","digital_arrest","English","Latin","SMS","CyberDost: No police, CBI or RBI officer conducts inquiry or arrest on video call. Disconnect and report on 1930.","Genuine digital arrest notice in English.","ANC-SBI-005","PAT-DA-006","synthetic_from_verified_pattern","https://bank.sbi/web/personal-banking/cyber-security","2026-04-28","none","safe_or_routine_action","none","SBI","false","none","machine_generated"
"CYB-SCALE-014","TRIP-SCALE-DA-EN-001","scam","digital_arrest","English","Latin","video_call_summary","Caller claimed to be from Cyber Crime Branch, said Aadhaar was linked to a criminal case, and kept the victim on video call while demanding account verification.","Scam variant for fake-rbi-verification-transfer.","ANC-SBI-005","PAT-DA-003","synthetic_from_verified_pattern","https://timesofindia.indiatimes.com/technology/tech-news/bengaluru-based-mnc-exec-loses-rs-51-lakh-in-digital-arrest-scam-that-lasted-10-hours/articleshow/113720656.cms","2024-09-27","Financial panic plus official-sounding audit","stay_on_video_call","fake_arrest|isolation|video_call_pressure","Cyber Crime Branch|Aadhaar|WhatsApp","false","none","machine_generated"
"CYB-SCALE-015","TRIP-SCALE-DA-EN-001","help_seeking","digital_arrest","English","Latin","WhatsApp","Uncle, someone saying Cyber Crime Branch put me under digital arrest on video call. They told me not to disconnect. Should I call 1930?","Help-seeking message about suspected digital arrest fraud.","ANC-SBI-005","PAT-DA-003","synthetic_from_verified_pattern","https://timesofindia.indiatimes.com/technology/tech-news/bengaluru-based-mnc-exec-loses-rs-51-lakh-in-digital-arrest-scam-that-lasted-10-hours/articleshow/113720656.cms","2024-09-27","anxiety_after_contact","ask_trusted_contact","anxious|asks_before_acting","Cyber Crime Branch|1930","false","none","machine_generated"
"CYB-SCALE-016","TRIP-SCALE-DA-EN-002","genuine","digital_arrest","English","Latin","SMS","CyberDost: Beware of scammers posing as CBI/ED/Customs over video call. Hang up and dial 1930 or visit cybercrime.gov.in.","Genuine digital arrest notice in English.","ANC-CYBER-002","PAT-DA-006","synthetic_from_verified_pattern","https://www.pib.gov.in/PressReleasePage.aspx?PRID=2068698","2026-04-28","none","safe_or_routine_action","none","I4C/MHA","false","none","machine_generated"
"CYB-SCALE-017","TRIP-SCALE-DA-EN-002","scam","digital_arrest","English","Latin","video_call_summary","Person on video call wore a fake RBI uniform, showed a forged FIR with the victim's name, and warned that disconnecting would mean immediate arrest.","Scam variant for fake-warrant-whatsapp.","ANC-CYBER-002","PAT-DA-005","synthetic_from_verified_pattern","https://timesofindia.indiatimes.com/city/bengaluru/digitally-arrested-by-fakebluru-cops-man-loses-rs-5l/articleshow/116446825.cms","2024-12-18","Document intimidation and shame","stay_on_video_call","fake_arrest|isolation|video_call_pressure","RBI|Aadhaar|WhatsApp","false","none","machine_generated"
"CYB-SCALE-018","TRIP-SCALE-DA-EN-002","help_seeking","digital_arrest","English","Latin","WhatsApp","Bhaiya help — guy in RBI uniform on Skype showing my Aadhaar, says case filed, asking transfer for verification. Real or scam?","Help-seeking message about suspected digital arrest fraud.","ANC-CYBER-002","PAT-DA-005","synthetic_from_verified_pattern","https://timesofindia.indiatimes.com/city/bengaluru/digitally-arrested-by-fakebluru-cops-man-loses-rs-5l/articleshow/116446825.cms","2024-12-18","anxiety_after_contact","ask_trusted_contact","anxious|asks_before_acting","RBI|1930","false","none","machine_generated"
"CYB-SCALE-019","TRIP-SCALE-DA-HI-002","genuine","digital_arrest","Hindi","Devanagari","SMS","CyberDost: Digital arrest एक scam है. किसी भी officer के नाम पर video call आए तो call काट दें और 1930 पर शिकायत करें.","Genuine digital arrest notice in Hindi.","ANC-CYBER-003","PAT-DA-006","synthetic_from_verified_pattern","https://www.pib.gov.in/PressReleseDetailm.aspx?PRID=2068606","2026-04-28","none","safe_or_routine_action","none","I4C/MHA","false","none","needs_human_review"
"CYB-SCALE-020","TRIP-SCALE-DA-HI-002","scam","digital_arrest","Hindi","Devanagari","video_call_summary","video call पर ED की uniform पहने व्यक्ति ने fake FIR दिखाई और कहा call काटी तो तुरंत arrest होगा.","Scam variant for fake-affidavit-oath-of-secrecy.","ANC-CYBER-003","PAT-DA-007","synthetic_from_verified_pattern","https://indianexpress.com/article/cities/pune/affidavit-secrecy-elderly-couple-digital-arrest-scam-10407907/lite/","2025-12-07","Isolation ritual and fake legal procedure","stay_on_video_call","fake_arrest|isolation|video_call_pressure","ED|Aadhaar|WhatsApp","false","none","needs_human_review"
"CYB-SCALE-021","TRIP-SCALE-DA-HI-002","help_seeking","digital_arrest","Hindi","Devanagari","WhatsApp","भैया मदद — Skype पर ED uniform में आदमी मेरा Aadhaar दिखा रहा, case file होने की धमकी देकर transfer मांग रहा. Real है क्या?","Help-seeking message about suspected digital arrest fraud.","ANC-CYBER-003","PAT-DA-007","synthetic_from_verified_pattern","https://indianexpress.com/article/cities/pune/affidavit-secrecy-elderly-couple-digital-arrest-scam-10407907/lite/","2025-12-07","anxiety_after_contact","ask_trusted_contact","anxious|asks_before_acting","ED|1930","false","none","needs_human_review"
"CYB-SCALE-022","TRIP-SCALE-DA-HI-003","genuine","digital_arrest","Hindi","Devanagari","SMS","I4C-CyberDost: किसी भी एजेंसी के नाम पर पैसे, OTP या Aadhaar मांगा जाए तो 1930 पर report करें. cybercrime.gov.in पर जाएं.","Genuine digital arrest notice in Hindi.","ANC-HDFC-003","PAT-DA-006","synthetic_from_verified_pattern","https://www.hdfcbank.com/personal/useful-links/security","2026-04-28","none","safe_or_routine_action","none","HDFC Bank","false","none","needs_human_review"
"CYB-SCALE-023","TRIP-SCALE-DA-HI-003","scam","digital_arrest","Hindi","Devanagari","video_call_summary","Mumbai Crime Branch का नाम लेकर कॉलर बोला तुम्हारे नाम का parcel narcotics के साथ पकड़ा, camera on रखो वरना remand होगा.","Scam variant for multi-agency-video-call-threat.","ANC-HDFC-003","PAT-DA-001","synthetic_from_verified_pattern","https://www.pib.gov.in/PressReleasePage.aspx?PRID=2068698","2024-10-27","Fake law-enforcement authority and threat of arrest","stay_on_video_call","fake_arrest|isolation|video_call_pressure","Mumbai Crime Branch|Aadhaar|WhatsApp","false","none","needs_human_review"
"CYB-SCALE-024","TRIP-SCALE-DA-HI-003","help_seeking","digital_arrest","Hindi","Devanagari","WhatsApp","दीदी, औरत Mumbai Crime Branch officer बता के बोल रही camera off किया तो jail. हाथ कांप रहे, 1930 dial करूं?","Help-seeking message about suspected digital arrest fraud.","ANC-HDFC-003","PAT-DA-001","synthetic_from_verified_pattern","https://www.pib.gov.in/PressReleasePage.aspx?PRID=2068698","2024-10-27","anxiety_after_contact","ask_trusted_contact","anxious|asks_before_acting","Mumbai Crime Branch|1930","false","none","needs_human_review"
"CYB-SCALE-025","TRIP-SCALE-DA-HI-004","genuine","digital_arrest","Hindi","Devanagari","SMS","CyberDost: सरकारी एजेंसी कभी video call पर arrest या जांच नहीं करती. डरें नहीं, call disconnect करें, 1930 dial करें.","Genuine digital arrest notice in Hindi.","ANC-CYBER-003","PAT-DA-006","synthetic_from_verified_pattern","https://www.pib.gov.in/PressReleseDetailm.aspx?PRID=2068606","2026-04-28","none","safe_or_routine_action","none","I4C/MHA","false","none","needs_human_review"
"CYB-SCALE-026","TRIP-SCALE-DA-HI-004","scam","digital_arrest","Hindi","Devanagari","video_call_summary","Narcotics Control Bureau officer होने का दावा करके कॉलर ने कहा money laundering case चल रहा है, settlement के लिए abhi RTGS करो वरना घर पर पुलिस आएगी.","Scam variant for fake-rbi-verification-transfer.","ANC-CYBER-003","PAT-DA-003","synthetic_from_verified_pattern","https://timesofindia.indiatimes.com/technology/tech-news/bengaluru-based-mnc-exec-loses-rs-51-lakh-in-digital-arrest-scam-that-lasted-10-hours/articleshow/113720656.cms","2024-09-27","Financial panic plus official-sounding audit","stay_on_video_call","fake_arrest|isolation|video_call_pressure","Narcotics Control Bureau|Aadhaar|WhatsApp","false","none","needs_human_review"
"CYB-SCALE-027","TRIP-SCALE-DA-HI-004","help_seeking","digital_arrest","Hindi","Devanagari","WhatsApp","पापा सुनो — Narcotics Control Bureau का बंदा बोल रहा money laundering का case है, 2 lakh RTGS नहीं किया तो घर पर पुलिस आएगी. क्या करूं?","Help-seeking message about suspected digital arrest fraud.","ANC-CYBER-003","PAT-DA-003","synthetic_from_verified_pattern","https://timesofindia.indiatimes.com/technology/tech-news/bengaluru-based-mnc-exec-loses-rs-51-lakh-in-digital-arrest-scam-that-lasted-10-hours/articleshow/113720656.cms","2024-09-27","anxiety_after_contact","ask_trusted_contact","anxious|asks_before_acting","Narcotics Control Bureau|1930","false","none","needs_human_review"
"CYB-SCALE-028","TRIP-SCALE-DA-MR-001","genuine","digital_arrest","Marathi","Devanagari","SMS","CyberDost: कोणतीही police/CBI/RBI agency video call वर arrest किंवा चौकशी करत नाही. Call कट करा आणि 1930 वर report करा.","Genuine digital arrest notice in Marathi.","ANC-HDFC-003","PAT-DA-006","synthetic_from_verified_pattern","https://www.hdfcbank.com/personal/useful-links/security","2026-04-28","none","safe_or_routine_action","none","HDFC Bank","false","none","needs_human_review"
"CYB-SCALE-029","TRIP-SCALE-DA-MR-001","scam","digital_arrest","Marathi","Devanagari","video_call_summary","कॉलरने स्वतःला Mumbai Crime Branch officer सांगितले, Aadhaar case शी जोडले आणि video call चालू ठेवून account verification साठी दबाव टाकला.","Scam variant for multi-agency-video-call-threat.","ANC-HDFC-003","PAT-DA-001","synthetic_from_verified_pattern","https://www.pib.gov.in/PressReleasePage.aspx?PRID=2068698","2024-10-27","Fake law-enforcement authority and threat of arrest","stay_on_video_call","fake_arrest|isolation|video_call_pressure","Mumbai Crime Branch|Aadhaar|WhatsApp","false","none","needs_human_review"
"CYB-SCALE-030","TRIP-SCALE-DA-MR-001","help_seeking","digital_arrest","Marathi","Devanagari","WhatsApp","दादा, Mumbai Crime Branch वाला digital arrest म्हणतोय आणि video call कट करू नको म्हणतो. 1930 ला call करू का?","Help-seeking message about suspected digital arrest fraud.","ANC-HDFC-003","PAT-DA-001","synthetic_from_verified_pattern","https://www.pib.gov.in/PressReleasePage.aspx?PRID=2068698","2024-10-27","anxiety_after_contact","ask_trusted_contact","anxious|asks_before_acting","Mumbai Crime Branch|1930","false","none","needs_human_review"
"CYB-SCALE-031","TRIP-SCALE-DA-MR-002","genuine","digital_arrest","Marathi","Devanagari","SMS","CyberDost: Digital arrest हा scam आहे. कोणत्याही एजेंसीच्या नावाने video call आल्यास call कट करा, 1930 वर तक्रार द्या.","Genuine digital arrest notice in Marathi.","ANC-CYBER-003","PAT-DA-006","synthetic_from_verified_pattern","https://www.pib.gov.in/PressReleseDetailm.aspx?PRID=2068606","2026-04-28","none","safe_or_routine_action","none","I4C/MHA","false","none","needs_human_review"
"CYB-SCALE-032","TRIP-SCALE-DA-MR-002","scam","digital_arrest","Marathi","Devanagari","video_call_summary","video call वर Narcotics Control Bureau ची uniform घातलेल्या व्यक्तीने खोटी FIR दाखवली आणि म्हटले call कट केली तर लगेच arrest होईल.","Scam variant for fake-rbi-verification-transfer.","ANC-CYBER-003","PAT-DA-003","synthetic_from_verified_pattern","https://timesofindia.indiatimes.com/technology/tech-news/bengaluru-based-mnc-exec-loses-rs-51-lakh-in-digital-arrest-scam-that-lasted-10-hours/articleshow/113720656.cms","2024-09-27","Financial panic plus official-sounding audit","stay_on_video_call","fake_arrest|isolation|video_call_pressure","Narcotics Control Bureau|Aadhaar|WhatsApp","false","none","needs_human_review"
"CYB-SCALE-033","TRIP-SCALE-DA-MR-002","help_seeking","digital_arrest","Marathi","Devanagari","WhatsApp","दादा मदत — Skype वर Narcotics Control Bureau uniform मधला माणूस माझे Aadhaar दाखवतोय, case file केल्याची धमकी देऊन transfer मागतोय. खरं आहे का?","Help-seeking message about suspected digital arrest fraud.","ANC-CYBER-003","PAT-DA-003","synthetic_from_verified_pattern","https://timesofindia.indiatimes.com/technology/tech-news/bengaluru-based-mnc-exec-loses-rs-51-lakh-in-digital-arrest-scam-that-lasted-10-hours/articleshow/113720656.cms","2024-09-27","anxiety_after_contact","ask_trusted_contact","anxious|asks_before_acting","Narcotics Control Bureau|1930","false","none","needs_human_review"
"CYB-SCALE-034","TRIP-SCALE-DA-HIN-001","genuine","digital_arrest","Hinglish","Latin","SMS","CyberDost: Police/CBI/RBI video call pe arrest ya inquiry nahi karti. Call cut karo aur 1930 par report karo.","Genuine digital arrest notice in Hinglish.","ANC-CYBER-003","PAT-DA-006","synthetic_from_verified_pattern","https://www.pib.gov.in/PressReleseDetailm.aspx?PRID=2068606","2026-04-28","none","safe_or_routine_action","none","I4C/MHA","false","none","machine_generated"
"CYB-SCALE-035","TRIP-SCALE-DA-HIN-001","scam","digital_arrest","Hinglish","Latin","video_call_summary","Caller ne khud ko Narcotics Control Bureau bataya, Aadhaar case se link bola aur video call chalu rakhne ka pressure dala.","Scam variant for fake-rbi-verification-transfer.","ANC-CYBER-003","PAT-DA-003","synthetic_from_verified_pattern","https://timesofindia.indiatimes.com/technology/tech-news/bengaluru-based-mnc-exec-loses-rs-51-lakh-in-digital-arrest-scam-that-lasted-10-hours/articleshow/113720656.cms","2024-09-27","Financial panic plus official-sounding audit","stay_on_video_call","fake_arrest|isolation|video_call_pressure","Narcotics Control Bureau|Aadhaar|WhatsApp","false","none","machine_generated"
"CYB-SCALE-036","TRIP-SCALE-DA-HIN-001","help_seeking","digital_arrest","Hinglish","Latin","WhatsApp","Bhai, Narcotics Control Bureau wala digital arrest bol raha hai aur video call cut mat karo keh raha. 1930 pe call karu kya?","Help-seeking message about suspected digital arrest fraud.","ANC-CYBER-003","PAT-DA-003","synthetic_from_verified_pattern","https://timesofindia.indiatimes.com/technology/tech-news/bengaluru-based-mnc-exec-loses-rs-51-lakh-in-digital-arrest-scam-that-lasted-10-hours/articleshow/113720656.cms","2024-09-27","anxiety_after_contact","ask_trusted_contact","anxious|asks_before_acting","Narcotics Control Bureau|1930","false","none","machine_generated"
"CYB-SCALE-037","TRIP-SCALE-DA-HIN-002","genuine","digital_arrest","Hinglish","Latin","SMS","CyberDost: Digital arrest ek scam hai. Kisi bhi officer ke naam se video call aaye to disconnect karo, 1930 dial karo.","Genuine digital arrest notice in Hinglish.","ANC-HDFC-003","PAT-DA-006","synthetic_from_verified_pattern","https://www.hdfcbank.com/personal/useful-links/security","2026-04-28","none","safe_or_routine_action","none","HDFC Bank","false","none","machine_generated"
"CYB-SCALE-038","TRIP-SCALE-DA-HIN-002","scam","digital_arrest","Hinglish","Latin","video_call_summary","Video call par ED ki fake uniform pehne banda nakli FIR dikha raha tha, bola call cut kiya to seedha arrest.","Scam variant for fake-warrant-whatsapp.","ANC-HDFC-003","PAT-DA-005","synthetic_from_verified_pattern","https://timesofindia.indiatimes.com/city/bengaluru/digitally-arrested-by-fakebluru-cops-man-loses-rs-5l/articleshow/116446825.cms","2024-12-18","Document intimidation and shame","stay_on_video_call","fake_arrest|isolation|video_call_pressure","ED|Aadhaar|WhatsApp","false","none","machine_generated"
"CYB-SCALE-039","TRIP-SCALE-DA-HIN-002","help_seeking","digital_arrest","Hinglish","Latin","WhatsApp","Bhaiya help — Skype par ED uniform me banda mera Aadhaar dikha raha, case file ki dhamki deke transfer maang raha. Real hai kya?","Help-seeking message about suspected digital arrest fraud.","ANC-HDFC-003","PAT-DA-005","synthetic_from_verified_pattern","https://timesofindia.indiatimes.com/city/bengaluru/digitally-arrested-by-fakebluru-cops-man-loses-rs-5l/articleshow/116446825.cms","2024-12-18","anxiety_after_contact","ask_trusted_contact","anxious|asks_before_acting","ED|1930","false","none","machine_generated"
"CYB-SCALE-040","TRIP-SCALE-UPI-EN-001","genuine","upi_collect_request","English","Latin","SMS","A/c X7328 debited by Rs. 75.00 for UPI payment to BOOKS INDIA on 21-Jun-26. RRN: 731483006067 if not you, call bank. -MAHABANK","Genuine upi collect request notice in English.","ANC-SBI-003","PAT-UPI-008","synthetic_from_verified_pattern","https://bank.sbi/web/personal-banking/cyber-security","2026-04-28","none","safe_or_routine_action","none","SBI","false","none","machine_generated"
"CYB-SCALE-041","TRIP-SCALE-UPI-EN-001","scam","upi_collect_request","English","Latin","app_notification","Rs.75 refund pending. Approve UPI collect from AXIS-REFUND. Credit today.","Scam variant for unknown-upi-request-warning-counterpattern.","ANC-SBI-003","PAT-UPI-008","synthetic_from_verified_pattern","https://bank.sbi/web/personal-banking/cyber-security","2026-04-28","Legitimate safety correction","approve_collect_request","refund_lure|hidden_upi_pin_risk|unknown_collect_request|bank_impersonation","Axis Bank|AXIS|UPI","false","none","machine_generated"
"CYB-SCALE-042","TRIP-SCALE-UPI-EN-001","help_seeking","upi_collect_request","English","Latin","WhatsApp","Dad, AXIS-REFUND sent a UPI collect request for Rs.75. It says refund credit today. Should receiving money need approval?","Help-seeking message about suspected upi collect request fraud.","ANC-SBI-003","PAT-UPI-008","synthetic_from_verified_pattern","https://bank.sbi/web/personal-banking/cyber-security","2026-04-28","anxiety_after_contact","ask_trusted_contact","anxious|asks_before_acting","Axis Bank|AXIS|UPI","false","none","machine_generated"
"CYB-SCALE-043","TRIP-SCALE-UPI-EN-002","genuine","upi_collect_request","English","Latin","SMS","Rs.240.00 credited to A/c X7602 on 27-Feb-26 from CITY CAFE. UPI Ref 731483024413. Avl Bal Rs.1830.00 -MAHABANK","Genuine upi collect request notice in English.","ANC-SMS-002","PAT-UPI-008","synthetic_from_verified_pattern","user_supplied_private_sms","2026-04-28","none","safe_or_routine_action","none","Bank of Maharashtra","false","none","machine_generated"
"CYB-SCALE-044","TRIP-SCALE-UPI-EN-002","scam","upi_collect_request","English","Latin","app_notification","SBI cashback Rs.240 ready. Tap APPROVE on UPI app within 5 min or amount lapses.","Scam variant for qr-code-receive-money-fraud.","ANC-SMS-002","PAT-UPI-002","synthetic_from_verified_pattern","https://www.hdfcbank.com/personal/useful-links/important-messages/stayvigil/types-of-fraud","2026-04-28","False payment receipt and hurry","approve_collect_request","refund_lure|hidden_upi_pin_risk|unknown_collect_request|bank_impersonation","SBI|SBI|UPI","false","none","machine_generated"
"CYB-SCALE-045","TRIP-SCALE-UPI-EN-002","help_seeking","upi_collect_request","English","Latin","WhatsApp","Bhai, GPay popup from SBI-REFUND for Rs.240, says enter PIN to receive cashback. PIN for receiving — that right?","Help-seeking message about suspected upi collect request fraud.","ANC-SMS-002","PAT-UPI-002","synthetic_from_verified_pattern","https://www.hdfcbank.com/personal/useful-links/important-messages/stayvigil/types-of-fraud","2026-04-28","anxiety_after_contact","ask_trusted_contact","anxious|asks_before_acting","SBI|SBI|UPI","false","none","machine_generated"
"CYB-SCALE-046","TRIP-SCALE-UPI-HI-001","genuine","upi_collect_request","Hindi","Devanagari","SMS","A/c X7602 से Rs.240.00 UPI payment CITY CAFE को debit हुआ on 27-Feb-26. RRN: 731483024413. Not you? bank को call करें. -MAHABANK","Genuine upi collect request notice in Hindi.","ANC-SMS-002","PAT-UPI-008","synthetic_from_verified_pattern","user_supplied_private_sms","2026-04-28","none","safe_or_routine_action","none","Bank of Maharashtra","false","none","needs_human_review"
"CYB-SCALE-047","TRIP-SCALE-UPI-HI-001","scam","upi_collect_request","Hindi","Devanagari","app_notification","Rs.240 refund pending है. SBI-REFUND का UPI collect approve करें. Credit आज होगा.","Scam variant for qr-code-receive-money-fraud.","ANC-SMS-002","PAT-UPI-002","synthetic_from_verified_pattern","https://www.hdfcbank.com/personal/useful-links/important-messages/stayvigil/types-of-fraud","2026-04-28","False payment receipt and hurry","approve_collect_request","refund_lure|hidden_upi_pin_risk|unknown_collect_request|bank_impersonation","SBI|SBI|UPI","false","none","needs_human_review"
"CYB-SCALE-048","TRIP-SCALE-UPI-HI-001","help_seeking","upi_collect_request","Hindi","Devanagari","WhatsApp","भैया, SBI-REFUND से Rs.240 का UPI collect आया है. Refund credit बोल रहा. Receive money में approve करना पड़ता है क्या?","Help-seeking message about suspected upi collect request fraud.","ANC-SMS-002","PAT-UPI-002","synthetic_from_verified_pattern","https://www.hdfcbank.com/personal/useful-links/important-messages/stayvigil/types-of-fraud","2026-04-28","anxiety_after_contact","ask_trusted_contact","anxious|asks_before_acting","SBI|SBI|UPI","false","none","needs_human_review"
